Metric,Ataxia_NG,Ataxia_NG_CI95,Ataxia_RG,Ataxia_RG_CI95,PD_NG,PD_NG_CI95,PD_RG,PD_RG_CI95
AsymmetryStancetime,0.324,"[0.000, 0.590]",-0.207,"[-0.500, 0.120]",0.216,"[-0.190, 0.560]",0.267,"[-0.130, 0.590]"
AsymmetrySwingstime,0.56,"[0.290, 0.750]",0.47,"[0.170, 0.690]",0.752,"[0.510, 0.880]",0.156,"[-0.240, 0.510]"
total%swingtime,0.629,"[0.390, 0.790]",0.735,"[0.540, 0.860]",0.611,"[0.290, 0.810]",0.755,"[0.520, 0.880]"
total%stancetime,0.629,"[0.390, 0.790]",0.735,"[0.540, 0.860]",0.611,"[0.290, 0.810]",0.755,"[0.520, 0.880]"
doublesupporttime,0.67,"[0.270, 0.870]",0.794,"[0.640, 0.890]",0.718,"[0.460, 0.870]",0.831,"[0.660, 0.920]"
AvgInterStepTime,0.857,"[0.740, 0.920]",0.79,"[0.630, 0.890]",0.768,"[0.540, 0.890]",0.786,"[0.580, 0.900]"
VarianceInterStepTime,-0.013,"[-0.330, 0.310]",0.066,"[-0.260, 0.380]",0.071,"[-0.330, 0.450]",0.393,"[0.010, 0.680]"
Frequency,0.847,"[0.720, 0.920]",0.839,"[0.710, 0.910]",0.751,"[0.510, 0.880]",0.827,"[0.650, 0.920]"
VarianceCOMy,0.233,"[-0.100, 0.520]",-0.004,"[-0.330, 0.320]",0.148,"[-0.260, 0.510]",0.28,"[-0.120, 0.600]"
speed,0.816,"[0.670, 0.900]",0.707,"[0.500, 0.840]",0.698,"[0.420, 0.860]",0.679,"[0.400, 0.840]"
Avgstridelength,0.815,"[0.670, 0.900]",0.736,"[0.540, 0.860]",0.641,"[0.330, 0.830]",0.879,"[0.750, 0.940]"
Variancestridelength,0.388,"[0.080, 0.630]",0.059,"[-0.270, 0.380]",0.325,"[-0.080, 0.640]",0.729,"[0.480, 0.870]"
Variabilitystridelength,0.644,"[0.410, 0.800]",0.363,"[0.050, 0.610]",0.371,"[-0.020, 0.670]",0.773,"[0.550, 0.890]"
Asymmetrystridelength,0.349,"[0.030, 0.600]",-0.107,"[-0.410, 0.220]",0.04,"[-0.360, 0.430]",0.462,"[0.100, 0.720]"
Avgsteplength,0.759,"[0.580, 0.870]",0.52,"[0.240, 0.720]",0.355,"[-0.040, 0.660]",0.644,"[0.350, 0.820]"
Variancesteplength,0.669,"[0.440, 0.820]",0.132,"[-0.200, 0.440]",0.101,"[-0.300, 0.480]",-0.032,"[-0.410, 0.360]"
Variabilitysteplength,0.536,"[0.260, 0.730]",0.427,"[0.120, 0.660]",0.275,"[-0.130, 0.600]",0.28,"[-0.120, 0.600]"
Avgstepwidth,0.448,"[0.150, 0.670]",0.499,"[0.210, 0.710]",0.367,"[-0.030, 0.660]",0.163,"[-0.230, 0.520]"
Variancestepwidth,0.153,"[-0.180, 0.450]",-0.002,"[-0.320, 0.320]",0.182,"[-0.220, 0.540]",0.226,"[-0.170, 0.560]"
Variabilitystepwidth,0.361,"[0.040, 0.610]",0.082,"[-0.250, 0.390]",-0.022,"[-0.410, 0.370]",0.196,"[-0.200, 0.540]"
AsymmetryFmaxheight,0.218,"[-0.110, 0.510]",0.495,"[0.210, 0.710]",0.224,"[-0.180, 0.570]",0.71,"[0.450, 0.860]"
Avgstancetime,0.605,"[0.350, 0.780]",0.65,"[0.420, 0.800]",0.634,"[0.320, 0.820]",0.707,"[0.440, 0.860]"
Avgswingtime,0.827,"[0.690, 0.910]",0.728,"[0.530, 0.850]",0.683,"[0.400, 0.850]",0.741,"[0.500, 0.880]"
Variabilitystancetime,0.519,"[0.240, 0.720]",0.367,"[0.050, 0.620]",0.396,"[0.010, 0.680]",0.016,"[-0.370, 0.400]"
Variabilityswingtime,0.778,"[0.610, 0.880]",0.728,"[0.530, 0.850]",0.662,"[0.370, 0.840]",0.685,"[0.410, 0.850]"
Avgmaxheight,0.87,"[0.760, 0.930]",0.849,"[0.730, 0.920]",0.926,"[0.840, 0.970]",0.869,"[0.730, 0.940]"
Variabilitymaxheight,0.539,"[0.260, 0.730]",0.348,"[0.030, 0.600]",0.319,"[-0.080, 0.630]",0.316,"[-0.080, 0.630]"
